time,view_id,current_position_x,current_position_y,current_position_z,goal_position_x,goal_position_z,goal_position_z,positional_difference_square_magnitude
339173.222,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,1.434029E-10
339173.222,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,4.384838E-09
339173.222,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,1.500939E-09
339173.222,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,0
339173.222,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,4.1655E-08
339173.222,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.012686E-07
339173.222,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,2.135184E-09
339173.222,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339173.223,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,1.69905E-10
339173.223,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,2.68443E-11
339173.223,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,8.470558E-12
339173.223,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339173.223,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,4.028655E-07
339173.223,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,1.140421E-12
339173.223,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,3.43441E-07
339173.223,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.432591E-09
339173.223,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,7.125118E-10
339173.223,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,0
339173.223,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,1.434029E-10
339173.223,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,4.384838E-09
339173.223,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,1.500939E-09
339173.223,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,0
339173.223,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,4.1655E-08
339173.223,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.012686E-07
339173.223,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,2.135184E-09
339173.223,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339173.223,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,1.69905E-10
339173.223,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,2.68443E-11
339173.223,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,8.470558E-12
339173.223,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339173.223,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,4.028655E-07
339173.27,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,3.920864E-11
339173.27,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,2.96749E-09
339173.27,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,4.812888E-09
339173.27,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,8.581367E-10
339173.27,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,2.809574E-08
339173.27,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,1.534547E-10
339173.27,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,7.020771E-09
339173.27,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,4.688823E-09
339173.27,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,3.023965E-09
339173.27,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,1.245022E-08
339173.27,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,2.829869E-08
339173.27,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,5.795727E-09
339173.27,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339173.27,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,1.06786E-09
339173.271,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,2.13285E-09
339173.271,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,4.870859E-11
339173.271,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339173.271,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,2.744441E-08
339173.271,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,3.920864E-11
339173.271,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,2.96749E-09
339173.271,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,4.812888E-09
339173.271,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,8.581367E-10
339173.271,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,2.809574E-08
339173.271,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,1.534547E-10
339173.271,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,7.020771E-09
339173.271,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,4.688823E-09
339173.271,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,3.023965E-09
339173.271,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,1.245022E-08
339173.271,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,2.829869E-08
339173.271,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,5.795727E-09
339173.271,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339173.271,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,1.06786E-09
339173.271,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,2.13285E-09
339173.271,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,4.870859E-11
339173.271,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339173.272,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,2.744441E-08
339173.273,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,3.920864E-11
339173.29,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,2.96749E-09
339173.291,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,4.812807E-09
339173.306,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,2.656411E-09
339173.334,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,1.93399E-07
339173.351,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,1.113343E-09
339173.373,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,6.154827E-08
339173.404,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,6.495226E-08
339173.419,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,2.475314E-08
339173.438,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,3.790016E-07
339173.449,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,5.436451E-07
339173.472,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,8.398344E-08
339173.504,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339173.584,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,5.271716E-09
339173.585,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,1.211386E-08
339173.604,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,5.635403E-11
339173.605,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339173.62,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,1.942553E-07
339173.638,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,8.569234E-11
339173.638,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,8.203149E-09
339173.671,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.233342E-08
339173.672,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,2.421997E-08
339173.687,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,1.793925E-07
339173.706,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,1.281859E-09
339173.784,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,2.163861E-08
339173.805,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,2.651489E-08
339173.819,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,3.495079E-08
339173.82,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,1.122603E-07
339173.839,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.828224E-07
339173.84,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,1.013377E-07
339173.851,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339173.939,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,5.623008E-09
339173.94,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,1.319115E-08
339173.94,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,4.039435E-12
339173.951,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339173.978,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,1.635784E-07
339173.978,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,6.264234E-11
339174.006,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,6.544057E-09
339174.007,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.116822E-08
339174.051,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,2.387124E-08
339174.074,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,1.971208E-07
339174.088,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,6.921112E-10
339174.14,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,2.436298E-08
339174.14,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,2.664977E-08
339174.151,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,1.59385E-08
339174.173,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,1.044194E-07
339174.186,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.492735E-07
339174.207,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,1.044072E-07
339174.22,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339174.286,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,5.271673E-09
339174.306,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,1.316313E-08
339174.307,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,5.600498E-11
339174.321,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339174.321,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,1.75939E-07
339174.343,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,6.171863E-11
339174.352,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,7.602397E-09
339174.377,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.155931E-08
339174.408,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,2.392072E-08
339174.408,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,1.681548E-07
339174.452,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,7.040614E-10
339174.453,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,3.841322E-08
339174.475,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,3.288311E-08
339174.506,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,2.386084E-08
339174.507,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,1.192299E-07
339174.553,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.4623E-07
339174.554,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,9.753865E-08
339174.575,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339174.653,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,5.625111E-09
339174.654,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,1.232526E-08
339174.654,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,3.186784E-12
339174.677,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339174.689,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,1.785336E-07
339174.709,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,8.569234E-11
339174.722,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,6.790323E-09
339174.742,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.158096E-08
339174.743,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,2.409244E-08
339174.775,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,1.759781E-07
339174.808,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,5.410107E-10
339174.823,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,3.009281E-08
339174.823,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,2.915674E-08
339174.853,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,1.612131E-08
339174.876,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,1.253754E-07
339174.889,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.481007E-07
339174.909,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,1.047327E-07
339174.942,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339175.009,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,5.516426E-09
339175.022,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,1.438396E-08
339175.041,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,5.501821E-11
339175.042,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339175.078,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,1.969514E-07
339175.079,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,6.467449E-11
339175.094,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,8.223413E-09
339175.094,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.218633E-08
339175.123,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,1.972659E-08
339175.144,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,1.9208E-07
339175.144,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,4.977139E-10
339175.174,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,3.040083E-08
339175.189,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,2.990299E-08
339175.211,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,9.916836E-09
339175.243,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,1.226147E-07
339175.257,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.562835E-07
339175.278,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,1.063763E-07
339175.288,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339175.357,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,5.660937E-09
339175.374,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,1.237693E-08
339175.375,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,4.039435E-12
339175.41,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339175.41,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,8.895861E-09
339175.425,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,8.583712E-11
339175.426,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,7.596603E-08
339175.444,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.077201E-08
339175.477,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,2.340324E-08
339175.512,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,1.77981E-07
339175.525,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,7.046672E-10
339175.544,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,2.988019E-08
339175.557,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,2.947466E-08
339175.577,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,1.618112E-08
339175.589,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,1.133198E-07
339175.623,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.466456E-07
339175.645,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,1.05547E-07
339175.658,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339175.725,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,5.516426E-09
339175.726,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,1.323829E-08
